"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"09-JUN-2021","NAZARA","Nazara Technologies Ltd","ALPS/KOTAK INDIA GROWTH FUND","BUY","64,312","1,641.95",
"09-JUN-2021","NAZARA","Nazara Technologies Ltd","IIFL SPECIAL OPPORTUNITIES FUND","SELL","1,77,385","1,641.95",
"09-JUN-2021","NAZARA","Nazara Technologies Ltd","IIFL SPECIAL OPPORTUNITIES FUND SERIES 2","SELL","1,37,020","1,641.95",
"09-JUN-2021","NAZARA","Nazara Technologies Ltd","IIFL SPECIAL OPPORTUNITIES FUND SERIES 4","SELL","1,32,418","1,641.95",
"09-JUN-2021","NAZARA","Nazara Technologies Ltd","IIFL SPECIAL OPPORTUNITIES FUND SERIES 5","SELL","1,38,214","1,641.95",
"09-JUN-2021","NAZARA","Nazara Technologies Ltd","IIFL SPECIAL OPPORTUNITIES FUND SERIES 7","SELL","64,312","1,641.95",
"09-JUN-2021","NAZARA","Nazara Technologies Ltd","NORGES BANK - GOVERNMENT PENSION FUND GLOBAL","BUY","5,85,037","1,641.95",
"11-JUN-2021","BHARATFORG","Bharat Forge Ltd","AJINKYA INVESTMENT & TRADING CO","SELL","46,56,000","750.80",
"11-JUN-2021","BHARATFORG","Bharat Forge Ltd","GOLDMAN SACHS INVESTMENTS (MAURITIUS) I LIMITED","BUY","3,93,940","750.80",
"11-JUN-2021","BHARATFORG","Bharat Forge Ltd","KUWAIT INVESTMENT AUTHORITY","BUY","4,66,000","750.80",
"11-JUN-2021","BHARATFORG","Bharat Forge Ltd","MORGAN STANLEY ASIA SINGAPORE PTE","BUY","2,00,000","750.80",
"11-JUN-2021","BHARATFORG","Bharat Forge Ltd","SBI LIFE INSURANCE COMPANY LTD","BUY","19,97,860","750.80",
"11-JUN-2021","BHARATFORG","Bharat Forge Ltd","SUNDARAM MUTUAL FUND","BUY","2,00,000","750.80",
"11-JUN-2021","BHARATFORG","Bharat Forge Ltd","TARA EMERGING ASIA LIQUID FUND","BUY","2,66,400","750.80",
