"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"13-JUN-2023","BAJAJFINSV","Bajaj Finserv Limited","ABHAYKUMAR NAVALMAL FIRODIA","SELL","1,50,000","1,480.00",
"13-JUN-2023","BAJAJFINSV","Bajaj Finserv Limited","JAYA HIND INDUSTRIES LIMITED","BUY","1,50,000","1,480.00",
"15-JUN-2023","AXISBANK","Axis Bank Limited","AIMCO AS A TRUSTEE OF THE GOVERNMENT OF THE PROVINCE OF ALBERTA","BUY","67,017","968.00",
"15-JUN-2023","AXISBANK","Axis Bank Limited","AMAZON MARKET NEUTRAL FUND","BUY","1,03,306","968.00",
"15-JUN-2023","AXISBANK","Axis Bank Limited","BAJAJ ALLIANZ LIFE INSURANCECOMPANY LIMITED","BUY","1,05,000","968.00",
"15-JUN-2023","AXISBANK","Axis Bank Limited","BAY POND INVESTORS BERMUDA LP","BUY","2,32,515","968.00",
"15-JUN-2023","AXISBANK","Axis Bank Limited","BAY POND PARTNERS  L.P.","BUY","10,34,908","968.00",
"15-JUN-2023","AXISBANK","Axis Bank Limited","BAYVK A2-FONDS","BUY","15,963","968.00",
"15-JUN-2023","AXISBANK","Axis Bank Limited","BC ASIA INVESTMENTS III LIMITED","SELL","70,58,824","968.00",
"15-JUN-2023","AXISBANK","Axis Bank Limited","BC ASIA INVESTMENTS VII LIMITED","SELL","98,11,765","968.00",
"15-JUN-2023","AXISBANK","Axis Bank Limited","BROWN ADVISORY - SOMERSET EMERGING MARKETS FUND","BUY","5,554","968.00",
"15-JUN-2023","AXISBANK","Axis Bank Limited","COMMONSPIRIT HEALTH OPERATING INVESTMENT POOL LLC","BUY","1,93,486","968.00",
"15-JUN-2023","AXISBANK","Axis Bank Limited","COMMONSPIRIT HEALTH RETIREMENT MASTER TRUST","BUY","98,302","968.00",
"15-JUN-2023","AXISBANK","Axis Bank Limited","CUSTODY BANK OF JAPAN LTD. AS TRUSTEE FOR DEVELOPING COUNTRIES HIGH-QUALITY GROWTH EQUITY FUND","BUY","1,79,536","968.00",
"15-JUN-2023","AXISBANK","Axis Bank Limited","DANSKE INVEST INDIA FUND","BUY","5,248","968.00",
"15-JUN-2023","AXISBANK","Axis Bank Limited","DANSKE INVEST SICAV - INDIA","BUY","12,057","968.00",
"15-JUN-2023","AXISBANK","Axis Bank Limited","EMPLOYEES PROVIDENT FUND MANAGEDBY NOMURA ASSET MANAGEMENT","BUY","80,769","968.00",
"15-JUN-2023","AXISBANK","Axis Bank Limited","EMPLOYEES RETIREMENT SYSTEM OF THE STATE OF HAWAII","BUY","1,10,296","968.00",
"15-JUN-2023","AXISBANK","Axis Bank Limited","ENTERGY CORPORATION RETIREMENT PLANS MASTER TRUST","BUY","48,372","968.00",
"15-JUN-2023","AXISBANK","Axis Bank Limited","EQ ADVISORS TRUST EQ GLOBAL EQUITY MANAGED VOLATILITY PORTFOLIO","BUY","82,254","968.00",
